generation,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,score11,score12,score13,score14,score15,score16,score17,score18,score19,score20,score21,score22,score23,score24,score25,score26,score27,score28,score29,score30,score31,score32,score33,score34,score35,score36,score37,score38,score39,score40,score41,score42,score43,score44,score45,score46,score47,score48,score49,score50,score51,score52,score53,score54,score55,score56,score57,score58,score59,score60
0,1193458,364436,514232,1494334,1326054,632492,1747426,550020,328360,1293673,340181,1476221,1094827,1198743,382595,365881,407051,540068,1097409,1712087,444360,845783,1286638,1210641,1478807,1367282,760958,695022,863488,1846169,1582547,671599,435996,459310,355735,1467916,806223,592427,771220,1089212,1105950,363933,1264339,1396182,439554,983973,2012067,1190680,981092,2689915,1092464,1581543,812548,2573936,2870951,395189,527090,467596,758178,455291
1,5,3,3,7,4,4,3,3,4,3,4,3,5,3,3,3,3,5,4,3,3,3,3,3,6,3,5,3,6,4,3,5,3,3,4,3,5,4,3,3,4,5,4,4,5,4,4,5,3,3,4,3,5,3,3,3,3,4,4,6
2,5,4,6,7,4,4,4,3,4,6,4,3,6,3,4,3,6,4,5,4,3,5,3,3,6,4,4,4,6,9,4,4,4,4,4,4,4,4,4,3,4,4,4,4,5,4,11,4,5,4,4,4,5,4,5,4,4,5,4,6
3,5,5,6,6,4,4,4,3,4,6,4,3,4,4,4,3,4,4,5,4,3,5,5,4,9,4,4,4,6,37,4,4,4,4,4,5,5,4,4,4,5,4,6,4,5,5,21,5,5,4,4,6,4,4,5,4,4,5,4,6
4,5,5,6,8,4,4,4,4,4,6,7,4,4,4,4,6,4,4,6,4,3,5,5,4,12,4,4,4,6,37,6,4,5,4,5,6,5,4,4,4,7,4,6,5,5,5,21,5,5,5,4,6,4,4,4,4,4,5,4,4
5,5,6,5,8,5,4,4,6,4,6,7,6,4,4,5,6,4,4,6,4,4,4,5,4,22,4,5,4,6,37,6,4,5,5,5,10,5,4,4,4,7,4,7,7,5,8,21,6,4,5,6,6,6,4,4,4,5,4,4,5
6,6,6,5,8,9,4,4,5,4,6,7,6,4,4,5,6,4,4,6,4,4,4,5,4,22,4,7,4,6,37,7,6,5,5,5,10,5,6,5,5,10,4,7,12,6,13,21,8,4,8,7,7,6,4,6,4,5,4,4,5
7,8,6,7,10,12,5,5,5,4,6,5,7,5,13,6,5,6,4,6,5,5,4,5,5,22,4,7,5,5,37,7,6,5,5,5,12,7,5,5,6,10,4,7,15,6,19,21,8,4,14,7,14,6,9,5,5,5,4,4,5
8,8,6,8,16,18,8,6,6,5,5,5,8,8,31,6,5,6,6,6,6,5,4,9,6,25,4,9,5,5,46,7,6,12,5,5,12,9,5,6,11,10,4,7,19,6,19,21,10,4,18,7,14,6,10,7,5,5,4,4,5
9,11,6,8,16,18,8,17,6,5,7,6,8,11,31,6,5,6,6,6,8,5,6,9,6,29,4,9,5,5,55,7,8,12,5,5,12,9,6,6,12,10,4,7,19,6,19,26,17,4,24,7,13,6,18,15,5,5,6,6,5
10,21,6,8,23,18,6,25,7,6,7,6,8,13,31,7,5,6,6,8,8,5,6,11,6,41,4,9,5,6,55,7,10,11,6,5,15,15,6,8,12,14,5,7,24,7,19,32,18,4,33,9,13,7,22,20,5,5,5,6,5
11,29,6,8,32,19,7,25,8,6,8,6,11,14,31,7,6,5,7,8,8,5,6,15,6,42,5,9,5,6,55,7,10,11,6,5,24,16,6,13,12,14,5,7,24,7,22,32,18,4,37,8,23,9,36,33,5,5,7,6,5
12,35,7,8,32,22,7,25,8,6,8,6,18,14,45,7,6,5,8,8,9,5,10,15,6,43,7,12,7,6,55,7,10,16,6,5,24,24,6,13,12,19,5,7,24,7,22,35,18,5,37,12,30,11,57,33,5,9,7,6,5
13,35,7,8,32,22,7,26,8,6,13,6,19,14,45,7,6,5,11,8,18,5,13,15,7,45,7,13,6,7,55,7,11,14,6,5,24,32,6,13,12,15,5,7,21,7,22,56,18,5,38,17,24,17,57,30,5,16,7,6,6
14,53,7,8,32,40,9,29,8,6,16,7,19,15,45,7,6,5,11,8,18,5,13,15,7,45,9,13,6,8,55,7,11,14,6,5,24,32,7,13,12,19,6,7,21,7,29,56,28,6,43,22,36,24,57,30,5,16,7,6,6
