generation,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,score11,score12,score13,score14,score15,score16,score17,score18,score19,score20,score21,score22,score23,score24,score25,score26,score27,score28,score29,score30,score31,score32,score33,score34,score35,score36,score37,score38,score39,score40,score41,score42,score43,score44,score45,score46,score47,score48,score49,score50,score51,score52,score53,score54,score55,score56,score57,score58,score59,score60
0,1559139,2588573,1899507,614445,1775376,610601,1372283,1036765,2531597,970333,1063778,564615,1103898,841125,1957517,2101440,1598211,727299,1985761,850907,2590308,1483854,2111223,819737,3132055,2957751,558017,2567813,563533,660131,577590,686657,1383136,740781,986541,1719546,590297,857823,1250773,2000750,878963,992945,1488124,1224377,1943877,3489564,1776631,1890156,888771,2511974,2898036,2263415,1355317,1006350,1684566,1389739,2088623,2319065,1101436,1466099
1,3,4,4,4,5,4,4,4,7,3,4,4,5,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,3,4,3,5,5,4,4,4,5,4,4,4,4,3,4,4,5,4,3,3,4,4,5,4,4,4,3,4,4,3,5,4
2,4,5,4,4,5,4,4,4,13,4,4,4,5,4,4,4,4,4,5,4,4,4,6,5,4,7,4,4,4,4,5,4,5,4,4,4,6,4,6,5,6,4,4,4,5,4,4,6,4,4,5,4,4,4,4,4,5,4,6,5
3,8,4,5,4,5,4,5,4,18,4,5,4,5,5,7,4,4,4,5,4,4,5,6,5,4,12,5,4,4,5,5,4,6,4,5,4,5,4,6,5,6,4,4,4,5,4,5,6,4,4,10,4,4,4,4,5,5,4,6,6
4,8,6,6,6,5,4,5,4,23,4,6,5,5,5,7,4,6,4,10,5,4,5,5,5,4,22,5,4,4,5,6,4,9,4,5,4,5,5,9,5,6,6,4,4,5,4,5,7,5,5,17,4,4,7,4,5,6,4,6,6
5,15,11,9,6,6,5,7,4,37,4,6,5,5,5,11,4,6,4,17,5,4,5,8,5,6,21,5,4,5,5,6,5,12,4,5,6,6,5,9,6,6,6,4,6,5,6,5,7,5,5,18,4,5,7,4,7,5,5,6,6
6,15,18,12,6,6,5,7,4,37,5,8,5,5,6,26,4,6,4,19,7,4,5,12,5,6,24,5,5,5,5,7,5,14,6,5,6,6,5,11,6,6,6,4,6,5,6,5,7,6,5,21,5,5,7,4,7,5,12,6,6
7,15,22,26,6,7,6,7,4,34,5,8,6,7,6,26,7,5,4,25,7,6,9,16,5,13,24,5,6,5,5,7,5,17,6,5,6,6,6,10,6,6,6,5,6,5,7,5,9,6,5,31,5,6,7,4,7,6,15,6,7
8,15,20,26,6,7,6,8,4,40,12,8,6,9,6,26,10,5,4,25,7,6,13,16,5,17,24,6,8,5,6,7,5,19,6,6,6,7,7,16,6,6,6,8,6,6,9,5,11,6,6,31,6,7,7,5,7,7,26,6,6
9,15,26,26,6,15,6,8,4,40,11,8,6,9,6,26,10,6,4,25,6,8,13,24,7,17,32,6,11,5,6,7,5,19,6,8,9,7,7,16,7,8,6,9,6,6,14,7,14,10,13,42,7,7,8,5,9,7,26,6,6
10,25,45,26,6,15,6,8,7,40,17,8,6,9,6,32,10,6,6,25,6,8,13,24,6,17,35,6,13,6,7,7,6,19,6,8,9,7,7,16,11,8,5,17,8,6,24,7,14,10,38,42,10,7,8,7,12,7,30,6,7
11,25,45,26,6,13,7,8,8,40,17,8,6,9,7,32,15,8,7,36,6,8,15,41,6,26,35,6,33,6,7,7,6,18,6,8,9,9,7,16,11,8,5,20,9,6,24,9,17,10,38,54,10,9,8,9,12,7,30,8,8
12,25,45,33,6,16,7,8,10,46,18,8,6,10,7,32,15,8,9,36,6,8,17,41,6,26,46,6,33,6,7,7,7,22,6,8,9,9,8,20,12,8,9,22,10,9,35,16,26,10,38,54,17,9,8,9,16,7,30,8,11
13,25,55,33,6,18,7,8,10,46,18,8,6,14,7,32,17,10,13,35,8,10,16,41,6,47,46,6,39,6,7,7,12,22,6,8,9,9,8,20,17,8,9,32,16,15,40,18,26,10,38,54,23,9,8,9,19,7,30,8,12
14,25,55,33,6,20,7,8,11,46,15,8,6,14,7,35,17,10,15,39,8,14,16,41,7,74,45,6,39,6,7,7,12,32,6,8,9,8,8,18,20,8,11,32,20,20,40,22,26,10,43,70,23,9,8,9,19,10,30,8,19
