generation,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,score11,score12,score13,score14,score15,score16,score17,score18,score19,score20,score21,score22,score23,score24,score25,score26,score27,score28,score29,score30,score31,score32,score33,score34,score35,score36,score37,score38,score39,score40,score41,score42,score43,score44,score45,score46,score47,score48,score49,score50,score51,score52,score53,score54,score55,score56,score57,score58,score59,score60
0,2009663,1182394,944875,823309,1123545,433987,762277,946583,995004,442852,722692,264118,2067078,1165612,807240,1520305,651531,1330548,573869,1150073,429841,841018,1608736,1379710,2847181,585260,2080979,989858,241642,470914,945862,755030,750500,579786,1047672,1875784,884960,909894,650466,1010659,1457444,733830,900835,1564908,264789,405708,832043,1670793,2002165,676076,1601139,861014,958186,238662,549418,311148,1386780,1356233,2199926,1477797
1,3,4,4,4,4,4,3,4,3,4,4,5,3,3,4,6,5,4,3,3,3,3,4,5,3,3,5,3,5,4,4,4,4,4,3,4,4,3,4,6,5,3,3,3,3,3,4,3,6,3,7,6,21,4,4,4,4,4,6,4
2,4,4,4,4,6,4,3,5,3,4,6,4,3,4,6,5,4,4,4,4,5,4,4,6,5,4,5,5,5,4,4,4,5,4,4,6,4,3,4,10,4,5,4,4,4,5,5,4,6,5,8,8,27,5,5,4,4,4,6,6
3,4,4,4,5,6,4,4,6,5,4,4,4,4,5,10,10,4,5,4,4,4,6,5,6,6,4,4,7,5,6,5,5,5,6,6,5,4,4,4,10,4,10,5,4,5,5,5,5,7,5,9,9,35,5,5,4,5,6,4,6
4,5,6,7,5,7,5,4,8,5,5,4,7,8,9,21,23,7,6,5,6,4,6,6,7,12,4,5,15,6,7,6,7,7,7,6,7,8,4,4,11,4,12,5,7,5,5,5,6,6,8,11,9,35,5,6,6,7,6,10,8
5,9,6,6,6,8,6,4,11,7,5,5,7,15,9,20,22,9,16,5,6,5,6,12,9,21,5,8,15,6,7,7,11,9,7,6,9,8,4,5,11,5,12,9,16,6,6,5,6,6,7,13,11,35,5,7,6,10,7,20,10
6,20,6,9,9,8,6,5,12,12,5,8,7,21,19,20,29,14,25,6,7,5,8,15,9,25,5,11,15,6,8,7,19,12,7,7,15,6,4,8,11,5,12,15,16,6,8,5,7,7,13,19,18,35,5,7,6,11,11,49,14
7,23,6,21,13,10,6,5,15,16,5,8,7,21,27,20,29,15,26,8,14,6,8,24,18,22,9,14,15,6,7,8,19,14,7,7,15,6,5,20,11,5,12,18,20,6,8,8,6,8,23,24,22,35,5,7,7,18,20,49,17
8,23,7,36,20,11,6,8,18,18,6,12,7,27,27,20,36,27,28,8,28,7,11,29,22,31,10,14,17,6,8,11,22,15,12,7,15,10,5,23,11,6,12,21,20,6,8,9,6,9,23,24,22,35,5,11,7,19,23,47,17
9,40,13,40,20,17,6,8,18,23,6,20,7,27,27,20,36,24,35,8,34,7,12,41,23,31,13,14,17,6,8,11,23,17,12,7,16,12,5,26,12,7,12,24,20,6,8,11,10,13,23,24,25,35,5,16,7,19,28,47,18
10,40,17,37,20,17,6,12,17,23,7,20,7,30,27,20,36,27,37,8,38,7,12,41,23,31,16,16,17,6,9,11,23,17,12,7,16,15,6,26,18,7,14,24,20,6,9,14,12,26,23,25,29,35,6,18,8,19,30,56,19
11,40,17,37,36,23,6,17,17,23,7,22,7,30,29,20,36,38,43,8,38,9,16,41,23,32,15,18,24,6,11,11,23,17,12,7,16,20,6,27,20,9,16,24,20,6,11,17,15,25,23,38,29,36,6,18,8,19,30,56,19
12,40,25,41,36,27,6,17,23,24,7,22,7,30,29,30,40,39,43,8,38,10,20,48,24,53,17,23,24,6,11,11,26,20,11,8,16,20,6,27,20,14,16,26,31,6,11,17,21,41,30,48,31,36,6,18,7,27,38,56,22
13,40,25,40,36,27,6,18,23,26,7,24,7,30,29,30,39,39,43,8,38,14,20,48,25,53,23,40,19,6,17,17,28,28,11,8,22,20,6,28,22,25,20,35,50,6,11,17,32,40,30,46,34,38,6,18,7,31,41,56,24
14,40,29,40,36,32,6,26,23,27,9,24,6,35,41,30,43,39,48,8,56,14,20,50,31,56,23,53,28,7,17,23,31,28,11,8,24,20,6,28,22,34,20,35,56,6,13,15,32,40,33,46,41,41,6,22,7,40,41,56,24
15,42,29,49,36,32,6,26,25,28,11,24,6,38,39,30,50,38,48,8,56,16,20,50,36,59,23,53,28,7,21,23,31,28,11,8,35,25,6,28,20,36,20,35,56,6,13,15,32,40,33,46,49,41,6,22,7,56,47,63,26
16,63,32,49,36,32,6,32,25,28,14,28,6,40,44,30,53,61,56,8,56,18,18,51,49,81,23,53,28,7,21,27,31,28,12,8,35,25,10,28,32,36,21,35,62,6,13,15,49,40,33,46,49,45,6,24,7,56,50,63,26
17,63,37,49,41,32,6,32,25,28,18,28,6,40,52,32,66,61,56,8,56,18,22,56,49,87,23,64,28,7,23,27,31,28,13,9,42,25,12,34,32,36,31,35,62,6,15,15,42,40,33,46,49,45,6,24,7,56,46,75,26
18,64,38,49,41,32,6,32,25,28,18,28,6,40,56,31,66,61,59,8,56,18,28,56,49,87,27,64,34,7,23,29,31,36,26,14,52,40,14,34,41,39,31,35,62,6,19,20,47,47,33,59,49,45,6,24,7,56,46,75,27
