generation,score,runtime
0,0,11951785
1,4,
2,4,
3,5,
4,5,
5,6,
6,6,
7,6,
8,6,
9,6,
10,6,
11,6,
12,6,
13,6,
14,15,
15,15,
16,15,
17,15,
18,25,
19,25,
20,25,
21,25,
22,25,
23,26,
24,31,
25,45,
26,45,
27,45,
28,45,
29,45,
30,45,
31,45,
32,45,
33,45,
34,45,
35,45,
36,45,
37,45,
38,45,
39,45,
40,45,
41,50,
42,50,
43,50,
44,50,
45,54,
46,54,
47,55,
48,55,
49,55,
50,55,
51,55,
52,55,
53,55,
54,55,
55,61,
56,61,
57,61,
58,61,
59,61,
60,61,
61,61,
62,61,
63,61,
64,61,
65,61,
66,61,
67,61,
68,61,
69,61,
70,61,
71,61,
72,61,
73,61,
74,61,
75,61,
76,70,
77,70,
78,70,
79,70,
80,70,
81,70,
82,70,
83,70,
84,70,
85,70,
86,70,
87,74,
88,80,
89,80,
90,80,
91,80,
92,80,
93,80,
94,80,
95,80,
96,80,
97,80,
98,80,
99,80,
100,80,
101,80,
102,80,
103,80,
104,80,
105,80,
106,83,
107,92,
108,92,
109,92,
110,92,
111,98,
112,98,
113,98,
114,96,
115,96,
116,96,
117,96,
118,96,
119,96,
120,96,
121,96,
122,96,
123,96,
124,96,
125,96,
126,96,
127,96,
128,96,
129,96,
130,96,
131,96,
132,96,
133,96,
134,96,
135,96,
136,96,
137,96,
138,96,
139,96,
140,96,
141,96,
142,96,
143,96,
144,96,
145,96,
146,96,
147,96,
148,96,
149,96,
150,96,
151,96,
152,105,
153,105,
154,105,
155,105,
156,105,
157,105,
158,105,
159,105,
160,105,
161,126,
162,126,
163,139,
164,139,
165,139,
166,139,
167,139,
168,139,
169,139,
170,148,
171,148,
172,148,
173,148,
174,148,
175,148,
176,148,
177,148,
178,148,
179,148,
180,148,
181,148,
182,148,
183,148,
184,148,
185,148,
186,148,
187,148,
188,148,
189,147,
190,147,
191,147,
192,147,
193,147,
194,147,
195,147,
196,147,
197,147,
198,147,
199,147,
200,147,
