generation,score,runtime
0,0,16004710
1,5,
2,4,
3,4,
4,5,
5,5,
6,7,
7,7,
8,7,
9,7,
10,7,
11,7,
12,7,
13,7,
14,9,
15,9,
16,9,
17,9,
18,9,
19,8,
20,7,
21,7,
22,7,
23,7,
24,7,
25,7,
26,7,
27,11,
28,11,
29,11,
30,12,
31,18,
32,18,
33,18,
34,21,
35,28,
36,28,
37,28,
38,32,
39,32,
40,32,
41,47,
42,47,
43,47,
44,47,
45,47,
46,47,
47,47,
48,47,
49,47,
50,47,
51,47,
52,47,
53,50,
54,50,
55,50,
56,50,
57,50,
58,50,
59,50,
60,50,
61,50,
62,50,
63,53,
64,53,
65,53,
66,53,
67,53,
68,72,
69,72,
70,73,
71,76,
72,77,
73,77,
74,77,
75,77,
76,77,
77,77,
78,77,
79,77,
80,77,
81,77,
82,77,
83,77,
84,77,
85,77,
86,77,
87,77,
88,77,
89,78,
90,78,
91,78,
92,78,
93,78,
94,78,
95,78,
96,78,
97,78,
98,78,
99,78,
100,78,
101,78,
102,78,
103,78,
104,78,
105,78,
106,78,
107,78,
108,78,
109,78,
110,78,
111,78,
112,78,
113,78,
114,78,
115,78,
116,78,
117,83,
118,83,
119,87,
120,87,
121,87,
122,87,
123,87,
124,87,
125,87,
126,87,
127,87,
128,87,
129,87,
130,87,
131,87,
132,87,
133,91,
134,98,
135,98,
136,98,
137,98,
138,98,
139,98,
140,98,
141,98,
142,98,
143,98,
144,98,
145,98,
146,98,
147,98,
148,98,
149,98,
150,98,
151,98,
152,98,
153,98,
154,88,
155,88,
156,88,
157,88,
158,95,
159,95,
160,95,
161,94,
162,94,
163,94,
164,94,
165,94,
166,94,
167,96,
168,96,
169,96,
170,101,
171,101,
172,101,
173,101,
174,101,
175,101,
176,101,
177,101,
178,101,
179,101,
180,101,
181,101,
182,101,
183,101,
184,101,
185,101,
186,101,
187,101,
188,101,
189,101,
190,101,
191,110,
192,110,
193,110,
194,110,
195,110,
196,110,
197,110,
198,110,
199,110,
200,110,
201,127,
202,127,
203,136,
204,149,
205,149,
206,149,
207,149,
208,149,
209,149,
210,149,
211,149,
212,149,
213,149,
214,149,
215,149,
216,149,
217,149,
218,149,
219,149,
220,150,
221,150,
222,150,
223,150,
224,150,
225,150,
226,150,
227,150,
228,150,
229,149,
230,149,
231,149,
232,149,
233,149,
234,149,
235,149,
236,149,
237,149,
238,149,
239,149,
240,149,
241,149,
242,149,
243,149,
244,149,
245,149,
246,149,
247,149,
248,149,
249,149,
250,149,
251,149,
252,149,
253,149,
254,149,
255,149,
256,149,
257,149,
258,149,
259,149,
260,149,
261,149,
262,149,
263,149,
264,149,
265,149,
266,149,
267,149,
268,149,
269,149,
270,149,
271,149,
272,149,
273,149,
274,149,
275,149,
276,149,
277,149,
278,149,
279,149,
280,149,
281,149,
282,149,
283,149,
284,149,
285,149,
286,149,
287,149,
288,149,
289,149,
290,149,
291,149,
292,149,
293,149,
294,147,
295,147,
296,147,
297,147,
298,147,
299,147,
300,147,
301,147,
302,147,
303,147,
304,147,
305,147,
306,147,
307,147,
308,147,
309,147,
310,147,
311,147,
312,147,
313,147,
314,147,
315,147,
316,147,
317,147,
318,147,
319,147,
320,147,
321,147,
322,147,
323,147,
324,147,
325,147,
326,147,
327,147,
328,147,
329,150,
330,150,
331,150,
332,150,
333,150,
334,150,
335,150,
336,150,
337,150,
338,150,
339,150,
340,150,
341,150,
342,150,
343,150,
344,150,
345,150,
346,150,
347,148,
348,148,
349,148,
350,148,
351,148,
352,148,
353,148,
354,148,
355,148,
356,148,
357,148,
358,148,
359,148,
360,148,
361,148,
362,148,
363,148,
364,148,
365,148,
366,148,
367,148,
368,148,
369,148,
370,148,
371,148,
372,149,
373,149,
374,149,
375,146,
376,146,
377,146,
378,146,
379,146,
380,146,
381,146,
382,146,
383,146,
384,146,
385,146,
386,146,
387,146,
388,146,
389,146,
390,146,
391,146,
392,146,
393,146,
394,146,
395,146,
396,146,
397,149,
398,149,
399,149,
400,149,
