generation,score,runtime
0,0,924045
1,3,
2,3,
3,3,
4,4,
5,4,
6,4,
7,7,
8,7,
9,10,
10,19,
11,19,
12,19,
13,19,
14,19,
15,19,
16,19,
17,19,
18,19,
19,19,
20,19,
21,19,
22,19,
23,26,
24,26,
25,26,
26,26,
27,26,
28,26,
29,26,
30,26,
31,26,
32,26,
33,26,
34,26,
35,26,
36,26,
37,26,
38,26,
39,26,
40,26,
41,26,
42,26,
43,26,
44,30,
45,30,
46,30,
47,30,
48,30,
49,30,
50,35,
51,35,
52,35,
53,35,
54,35,
55,35,
56,35,
57,35,
58,35,
59,35,
60,37,
61,37,
62,37,
63,44,
64,44,
65,44,
66,44,
67,44,
68,44,
69,44,
70,56,
71,56,
72,56,
73,56,
74,56,
75,56,
76,56,
77,56,
78,56,
79,56,
80,56,
81,56,
82,56,
83,56,
84,56,
85,56,
86,56,
87,56,
88,56,
89,56,
90,56,
91,73,
92,73,
93,73,
94,73,
95,73,
96,73,
97,73,
98,73,
99,73,
100,73,
