generation,score,runtime
0,0,22057349
1,3,
2,4,
3,4,
4,6,
5,6,
6,6,
7,7,
8,7,
9,7,
10,7,
11,7,
12,7,
13,7,
14,7,
15,7,
16,7,
17,7,
18,7,
19,7,
20,7,
21,7,
22,7,
23,7,
24,8,
25,8,
26,12,
27,19,
28,15,
29,19,
30,21,
31,21,
32,24,
33,21,
34,31,
35,31,
36,31,
37,31,
38,31,
39,31,
40,36,
41,36,
42,42,
43,52,
44,52,
45,56,
46,67,
47,67,
48,67,
49,74,
50,75,
51,80,
52,80,
53,80,
54,80,
55,98,
56,98,
57,98,
58,95,
59,95,
60,95,
61,99,
62,99,
63,104,
64,104,
65,104,
66,103,
67,114,
68,114,
69,119,
70,129,
71,129,
72,132,
73,132,
74,132,
75,132,
76,132,
77,132,
78,132,
79,132,
80,132,
81,132,
82,132,
83,132,
84,132,
85,132,
86,132,
87,149,
88,149,
89,149,
90,149,
91,149,
92,149,
93,149,
94,149,
95,149,
96,149,
97,149,
98,149,
99,149,
100,149,
101,149,
102,149,
103,149,
104,149,
105,149,
106,149,
107,149,
108,149,
109,149,
110,149,
111,149,
112,149,
113,149,
114,149,
115,149,
116,149,
117,149,
118,149,
119,149,
120,149,
121,149,
122,149,
123,149,
124,149,
125,149,
126,148,
127,148,
128,148,
129,148,
130,148,
131,148,
132,148,
133,148,
134,148,
135,148,
136,148,
137,148,
138,148,
139,148,
140,148,
141,148,
142,148,
143,148,
144,148,
145,148,
146,148,
147,148,
148,148,
149,148,
150,148,
151,148,
152,148,
153,148,
154,148,
155,148,
156,148,
157,148,
158,148,
159,148,
160,148,
161,148,
162,148,
163,148,
164,148,
165,148,
166,148,
167,148,
168,148,
169,148,
170,148,
171,148,
172,148,
173,148,
174,148,
175,148,
176,148,
177,148,
178,148,
179,148,
180,148,
181,148,
182,148,
183,148,
184,148,
185,148,
186,148,
187,148,
188,148,
189,148,
190,148,
191,148,
192,148,
193,148,
194,148,
195,148,
196,148,
197,148,
198,148,
199,148,
200,148,
