generation,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,score11,score12,score13,score14,score15,score16,score17,score18,score19,score20,score21,score22,score23,score24,score25,score26,score27,score28,score29,score30,score31,score32,score33,score34,score35,score36,score37,score38,score39,score40,score41,score42,score43,score44,score45,score46,score47,score48,score49,score50,score51,score52,score53,score54,score55,score56,score57,score58,score59,score60
0,609610,1230326,796816,989953,504688,1055349,888822,1264904,809591,398000,902545,823006,405431,454511,1008368,396755,856264,432277,1350454,1170209,397542,379648,1044901,2207879,1271004,937495,1265612,700805,419572,866937,954466,1473915,708113,855623,638381,820156,560090,511739,1150438,461017,617520,439156,832000,537214,1236193,1123489,786063,849868,705694,808979,852432,419725,600756,1082844,1202233,1316840,903014,673570,590360,484636
1,5,3,3,4,4,6,3,4,4,3,3,3,3,4,4,4,3,3,4,4,3,3,7,3,4,4,4,4,3,4,3,4,4,3,4,3,5,4,4,3,4,4,5,4,3,4,3,4,3,6,4,4,3,4,4,3,5,5,3,5
2,5,4,4,4,5,6,3,4,4,4,4,3,3,4,8,5,4,4,5,5,4,4,9,4,4,4,4,5,3,4,4,4,5,4,4,4,4,4,4,4,4,4,5,4,5,5,4,5,4,5,5,4,3,5,4,4,5,5,4,5
3,5,5,5,5,5,5,4,5,4,5,7,4,4,4,8,5,4,4,5,5,4,4,10,4,5,4,4,5,4,4,5,4,5,5,4,4,4,4,4,4,5,5,5,4,5,6,5,6,4,7,5,4,5,5,4,4,5,5,4,4
4,7,5,7,6,7,11,4,7,4,5,8,4,5,4,8,5,8,4,5,5,4,4,10,4,7,7,5,6,4,5,7,5,5,6,6,4,6,4,4,4,7,6,5,5,5,6,5,7,4,7,5,4,5,5,4,4,5,5,5,4
5,7,5,7,8,7,11,4,14,6,6,9,5,5,4,8,5,8,5,8,5,4,4,12,5,12,7,5,6,4,5,9,5,7,8,6,5,6,8,4,4,13,6,5,6,8,6,5,8,4,12,5,4,5,5,4,6,6,5,8,5
6,7,5,7,8,7,11,4,14,6,6,9,5,5,5,8,5,8,5,8,7,4,4,12,8,12,7,5,6,5,5,14,6,7,8,6,9,6,8,6,4,16,6,8,6,9,8,5,10,4,16,6,4,5,7,4,6,7,5,8,5
7,7,6,7,12,7,11,4,16,6,6,10,5,5,5,8,5,8,5,10,7,6,4,12,8,16,7,8,6,5,5,14,9,12,8,6,11,9,8,6,4,16,6,8,6,11,8,6,15,4,16,13,5,5,7,7,11,7,5,7,6
8,7,6,11,13,7,12,6,15,6,6,10,5,5,5,8,5,8,5,20,7,5,4,16,11,17,14,8,8,6,5,14,13,13,8,6,13,9,9,6,4,18,6,8,6,11,10,6,20,5,16,14,5,5,8,7,11,7,5,8,8
9,7,6,11,16,7,21,6,21,6,6,10,5,5,5,8,6,8,5,20,7,5,4,19,18,14,14,12,8,6,6,14,26,15,10,6,13,9,13,6,4,18,6,16,6,14,13,6,20,5,16,16,5,6,9,7,12,7,5,8,9
10,7,6,12,17,7,21,7,22,7,6,10,5,5,5,8,6,8,5,21,9,5,5,19,19,15,14,19,8,6,7,15,26,15,10,6,14,10,13,6,5,18,7,16,6,14,14,6,20,5,16,15,5,6,9,7,13,7,5,8,10
11,7,7,12,17,7,26,7,29,7,6,10,6,5,5,8,6,8,5,21,14,7,5,19,19,17,14,23,8,6,7,15,30,15,14,6,14,11,13,6,5,18,7,16,6,14,13,6,20,6,20,17,5,6,10,6,13,7,5,8,11
12,7,9,13,22,7,26,7,35,7,6,10,6,10,5,8,6,8,5,21,14,7,5,22,23,17,14,29,8,6,7,15,30,15,14,7,14,16,16,6,5,18,7,20,6,14,13,6,19,6,20,17,5,6,10,8,17,7,5,8,12
13,7,10,16,23,7,26,8,35,7,6,10,6,10,7,8,6,7,6,21,12,7,5,22,23,17,14,29,7,6,7,15,30,15,14,7,14,18,16,8,5,18,7,20,7,14,17,6,19,6,20,17,6,6,10,8,17,9,7,8,12
14,9,14,16,23,7,26,9,35,7,6,10,7,10,7,8,6,12,6,21,12,7,5,22,24,16,13,33,7,6,7,15,53,16,18,7,14,20,16,8,5,18,7,20,7,14,17,6,22,6,21,17,6,6,10,8,25,9,7,8,12
15,9,19,16,23,7,26,15,42,7,6,11,7,10,7,8,6,12,10,27,12,7,5,22,33,20,13,33,12,6,7,15,53,23,18,7,14,24,16,8,5,23,7,20,7,14,16,6,26,8,21,23,6,6,14,8,25,10,7,8,12
16,9,19,16,27,7,26,19,50,7,6,22,7,10,7,8,6,15,11,28,13,7,5,22,33,20,17,33,19,6,7,15,53,23,18,7,14,24,18,12,5,23,7,24,7,14,24,6,26,8,23,22,6,6,14,8,28,10,7,8,12
17,9,19,16,27,7,46,19,50,7,6,22,7,10,7,8,6,15,14,33,13,7,5,25,31,20,17,33,19,6,8,15,53,23,18,13,17,23,18,12,5,23,7,24,7,14,29,7,27,8,23,22,6,6,14,10,42,14,7,8,14
18,11,22,16,27,7,46,19,50,7,6,22,7,10,7,8,6,15,14,37,13,7,5,25,31,20,24,36,19,6,22,22,53,23,18,14,22,23,18,12,5,24,7,24,7,16,29,7,27,12,23,22,6,6,14,18,42,14,7,8,17
19,11,31,17,27,7,52,19,50,10,6,19,7,10,7,8,6,15,14,37,25,7,5,25,31,29,24,40,19,6,22,31,53,23,18,15,22,23,25,15,5,24,7,24,7,20,29,8,27,12,23,22,6,6,20,18,42,14,7,8,17
20,11,34,19,27,7,52,20,50,16,9,19,7,10,7,11,6,19,14,37,27,7,6,26,31,42,24,40,19,6,22,38,53,23,20,15,27,23,25,19,5,24,7,22,7,24,30,8,29,20,27,22,6,10,24,18,42,18,7,8,17
21,11,35,23,27,7,52,20,50,20,9,19,7,10,7,19,6,19,14,45,27,7,6,26,50,42,24,40,19,6,22,37,53,32,20,15,27,23,26,20,5,24,7,24,7,32,30,15,29,26,27,22,6,10,29,18,42,20,7,15,17
22,11,35,25,27,7,52,23,50,23,9,20,7,10,7,19,6,24,21,44,27,7,6,27,50,42,24,45,19,6,22,37,69,32,20,15,27,23,26,23,5,24,7,28,7,46,30,21,37,26,27,22,6,10,29,21,47,20,7,15,17
23,14,41,25,35,7,52,23,50,23,9,23,7,10,7,25,6,25,21,44,27,7,6,31,59,48,24,47,21,6,26,37,69,32,20,15,39,23,26,23,5,24,7,28,7,46,30,20,37,26,27,22,7,10,35,20,58,23,9,18,17
24,14,41,25,35,7,52,26,50,23,9,30,9,10,7,25,6,25,21,44,29,7,6,31,70,48,24,47,21,6,30,37,69,32,20,15,43,23,26,23,5,24,7,28,7,46,48,20,37,28,31,22,7,12,35,20,58,28,9,18,13
25,14,41,25,35,7,52,45,56,22,9,30,20,10,7,39,6,25,21,44,28,7,6,31,70,48,24,46,21,6,28,37,63,32,20,15,43,23,28,23,5,24,7,28,7,46,51,23,37,28,31,22,7,23,35,28,58,28,9,18,13
26,14,41,25,36,7,52,50,56,24,9,30,24,10,7,33,6,25,21,50,31,7,6,31,70,60,29,47,21,6,35,37,63,32,25,15,46,23,28,23,5,28,7,28,7,46,51,23,37,28,31,22,7,23,32,39,58,28,11,18,13
27,14,41,24,36,7,52,50,59,23,9,31,24,10,7,53,6,25,21,50,41,7,6,31,70,60,31,47,21,6,39,37,63,32,25,17,46,23,28,23,5,28,7,29,7,46,51,23,37,28,31,25,7,23,32,39,58,22,14,18,13
28,25,39,24,35,7,52,50,59,25,9,31,25,10,7,53,6,25,21,50,41,7,6,38,74,69,31,47,21,6,39,37,63,32,25,18,46,23,28,37,5,28,7,29,7,69,53,24,37,28,31,25,7,23,37,42,59,22,21,21,13
29,25,41,28,35,7,52,50,59,25,9,31,29,10,7,57,6,24,21,63,41,7,6,38,74,69,45,47,31,6,46,43,63,32,25,18,46,26,28,37,5,28,7,37,7,69,53,28,37,28,31,25,7,23,37,59,59,31,25,21,13
30,25,41,28,35,7,52,50,75,25,9,40,34,10,7,57,6,24,21,63,41,7,6,38,86,69,45,69,31,6,46,43,77,32,25,18,54,26,28,36,5,28,7,28,7,69,53,28,37,34,33,25,7,24,39,59,59,29,25,22,15
31,25,42,28,35,7,67,50,75,25,9,40,34,10,7,57,6,24,21,63,41,7,6,38,86,69,45,69,31,6,46,43,77,32,25,19,54,26,28,49,5,33,7,28,7,69,53,36,44,30,33,25,7,24,39,59,59,29,31,22,15
32,25,45,28,37,8,67,50,75,30,9,40,49,10,7,57,6,24,21,63,41,7,6,38,94,69,47,69,31,6,46,43,86,32,25,20,54,26,28,51,5,33,7,28,7,69,53,36,44,30,29,31,7,24,39,59,59,29,35,25,15
33,25,57,28,37,8,67,50,75,33,9,40,49,10,7,57,6,35,21,63,72,7,6,38,94,79,47,73,31,6,46,43,86,32,29,23,54,26,28,51,5,33,7,33,7,69,53,34,44,30,36,35,7,24,39,59,75,38,37,25,15
34,25,57,28,42,8,67,50,75,30,9,40,48,10,11,68,6,35,21,63,70,7,6,39,94,79,47,73,31,6,46,43,86,32,29,22,51,26,28,51,5,32,7,39,7,69,53,34,44,30,36,35,7,24,39,60,76,38,37,25,15
35,25,57,31,46,8,67,50,75,30,9,40,48,10,14,68,6,35,21,63,90,7,6,39,94,79,47,73,31,6,46,47,86,32,30,22,56,26,28,50,5,32,7,39,7,69,53,40,44,30,47,35,7,29,39,68,76,38,37,25,15
36,25,73,31,46,8,67,50,75,37,9,40,72,10,14,73,6,35,25,70,90,7,6,39,94,79,54,73,31,6,46,47,86,32,35,33,56,26,31,62,5,32,7,53,7,69,61,40,44,30,47,35,7,29,45,93,84,38,40,25,15
37,25,73,39,46,8,67,50,75,44,9,40,72,10,15,74,6,50,25,70,90,7,6,39,109,79,54,71,30,6,46,47,86,32,48,33,62,26,32,71,5,32,7,53,7,69,61,40,44,40,47,35,7,29,49,89,84,38,40,25,15
38,25,81,39,46,8,67,50,75,44,9,40,72,10,15,74,6,50,23,70,90,6,6,45,109,79,53,73,38,6,44,47,86,32,48,33,62,26,32,68,5,32,7,44,7,69,61,45,44,40,47,35,7,31,49,82,93,41,40,25,15
39,25,81,48,46,8,67,50,75,44,9,40,72,10,15,74,6,50,24,70,90,6,6,48,109,79,71,75,34,6,44,59,86,32,48,33,62,26,32,68,5,32,7,44,7,69,61,45,44,40,47,35,7,31,49,85,93,57,40,25,15
40,25,81,48,46,8,71,50,75,44,9,41,72,10,15,74,6,52,24,70,90,6,6,56,109,76,71,75,40,6,44,59,86,32,48,33,62,26,32,69,5,32,7,44,7,69,65,45,45,40,52,35,7,31,55,85,93,58,40,25,15
