generation,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,score11,score12,score13,score14,score15,score16,score17,score18,score19,score20,score21,score22,score23,score24,score25,score26,score27,score28,score29,score30,score31,score32,score33,score34,score35,score36,score37,score38,score39,score40,score41,score42,score43,score44,score45,score46,score47,score48,score49,score50,score51,score52,score53,score54,score55,score56,score57,score58,score59,score60
0,987082,863252,316363,854613,706876,847429,2729785,601636,1508946,1130268,379040,2115151,2880748,2096148,675654,2137843,1981039,1153633,1259845,496650,765536,2635743,2850638,594351,922502,737196,320223,3028614,1896216,731139,1995815,512186,2534689,2842476,1222587,1609469,2194424,1575021,2735431,1851841,1139462,1367884,585461,1521336,1867760,3609200,1373612,1696150,319154,321440,382538,1141688,2013711,2750047,3234736,637426,2180422,1446473,1012373,891528
1,4,5,6,6,3,5,4,6,4,4,4,4,3,4,5,4,4,8,4,5,5,4,4,4,3,4,4,3,4,3,4,5,4,4,4,4,4,4,3,3,3,5,4,4,3,7,4,3,4,5,3,4,3,6,4,4,5,4,4,3
2,5,4,6,4,4,4,7,6,6,10,4,5,5,4,4,4,4,13,6,4,5,4,4,4,5,4,4,4,4,4,4,5,6,4,5,4,4,5,4,4,5,5,4,4,8,32,4,5,5,5,4,5,4,4,4,4,4,5,5,4
3,8,5,6,4,4,5,7,5,8,10,4,8,6,5,7,4,7,15,6,5,5,4,7,6,5,6,5,4,6,4,4,5,7,5,6,5,6,5,5,4,4,8,4,6,10,60,5,5,5,5,5,7,5,7,6,5,4,7,6,4
4,12,5,5,4,4,5,7,5,12,11,4,13,14,6,8,4,11,17,9,5,8,5,7,11,6,6,5,5,7,4,5,6,12,5,6,6,6,5,7,7,5,9,4,7,15,66,5,7,5,5,5,10,5,13,8,5,4,6,6,4
5,13,5,5,5,4,7,8,5,19,11,4,13,16,14,8,5,16,24,13,5,8,13,11,13,8,9,6,7,8,5,7,6,32,7,8,15,6,6,9,10,5,11,4,8,19,74,5,21,5,5,5,14,7,21,12,7,8,8,6,4
6,14,5,5,6,5,7,10,7,19,12,4,17,19,23,12,5,18,24,14,7,8,21,23,14,9,9,5,7,10,5,18,7,32,12,8,17,8,6,17,15,7,15,4,7,24,76,5,29,5,5,5,15,7,27,20,7,12,17,6,5
7,19,5,5,6,7,7,14,7,19,12,5,23,27,23,12,8,24,24,14,7,8,25,24,14,18,11,5,11,15,5,18,7,32,42,8,20,12,7,33,17,7,22,6,12,24,75,5,32,5,5,5,18,8,35,26,7,16,21,10,6
8,19,6,5,6,8,11,22,7,23,13,5,28,27,30,12,10,24,24,15,7,8,32,24,17,18,11,6,16,18,6,18,7,31,42,13,20,20,7,33,25,8,22,5,16,25,76,7,32,5,5,5,18,8,39,27,9,16,21,8,6
9,23,6,5,6,8,14,27,7,23,16,5,28,27,31,16,27,24,24,15,9,8,33,31,17,18,12,6,19,34,9,18,7,40,39,13,20,26,7,37,42,9,26,6,15,25,75,7,37,5,5,5,24,9,41,44,10,21,28,9,6
