generation,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,score11,score12,score13,score14,score15,score16,score17,score18,score19,score20,score21,score22,score23,score24,score25,score26,score27,score28,score29,score30,score31,score32,score33,score34,score35,score36,score37,score38,score39,score40,score41,score42,score43,score44,score45,score46,score47,score48,score49,score50,score51,score52,score53,score54,score55,score56,score57,score58,score59,score60
0,971975,808303,924434,1102952,980652,690244,1024204,1205186,613098,561046,551247,989378,928849,442119,691854,1002853,721104,533837,218653,617078,945178,1540817,228023,909933,1297636,484170,227233,831494,893326,254716,637630,572526,502921,831555,221695,244892,292532,890779,1319064,1553729,373336,632373,929052,689478,1155930,1174821,1394434,700288,651379,1240227,672660,903416,883791,458280,955238,863381,992805,751085,593321,501943
1,5,4,4,4,3,4,4,4,3,4,4,3,4,6,4,3,4,4,3,3,4,4,3,4,4,3,4,3,5,4,4,3,7,4,4,3,4,3,4,7,6,4,4,3,4,4,4,3,4,3,4,5,4,4,5,5,4,4,3,3
2,4,4,4,6,5,4,5,4,4,4,4,4,4,6,4,3,7,6,4,3,4,4,4,4,4,4,5,6,5,4,4,4,7,4,5,4,4,5,4,4,6,4,5,5,6,4,4,4,4,5,4,5,5,4,5,5,4,4,3,7
3,4,4,5,8,4,4,5,4,4,4,4,4,4,6,7,3,6,6,4,5,4,5,4,5,4,4,5,6,5,5,5,4,7,4,5,4,4,5,4,7,6,4,9,4,7,4,10,4,4,6,4,5,5,4,8,5,4,4,4,7
4,4,4,5,8,5,5,5,5,4,4,4,4,6,6,7,4,7,6,6,5,4,5,4,5,4,4,5,5,6,6,5,4,7,4,4,4,4,5,8,19,7,4,9,7,15,4,20,4,6,6,6,5,5,4,7,8,4,7,4,7
5,4,4,6,8,5,8,5,6,5,5,4,4,6,5,8,5,8,6,6,5,4,6,4,5,4,5,5,8,8,7,5,7,7,4,4,4,5,6,16,25,7,5,8,7,22,4,28,4,6,6,6,5,6,5,12,8,4,6,5,10
6,4,6,8,7,5,8,8,6,5,5,4,6,6,7,8,5,9,6,6,6,4,7,4,7,6,5,5,8,11,8,6,7,6,4,4,6,5,10,17,33,7,5,8,7,25,4,28,5,5,6,6,5,6,5,21,8,6,6,5,11
7,7,6,8,7,6,10,8,22,6,5,4,6,6,7,15,5,9,6,6,6,5,8,5,7,7,5,5,8,15,8,6,6,6,4,4,6,5,14,26,33,8,11,10,6,25,4,28,6,7,7,8,8,7,5,21,8,6,6,7,12
8,7,6,8,8,6,10,9,22,6,5,6,6,8,7,15,5,9,5,6,9,5,12,5,7,7,5,5,8,15,8,6,8,8,6,4,6,5,18,27,31,9,10,14,6,21,6,32,6,7,16,7,8,7,6,21,8,8,6,7,12
9,7,6,8,9,6,13,10,23,6,5,6,6,8,7,15,6,8,6,6,9,5,26,5,7,7,6,5,15,15,8,6,10,10,6,4,6,5,22,33,31,12,10,17,8,33,7,39,6,10,16,10,8,7,6,21,8,10,6,7,12
10,9,6,9,9,13,22,10,24,7,10,6,6,8,7,15,10,12,6,6,10,5,29,5,5,7,8,6,15,15,8,6,15,10,6,4,6,5,28,33,35,12,14,17,8,33,15,52,6,14,16,14,8,8,6,17,8,12,6,7,12
11,9,6,10,10,13,22,11,38,9,10,7,6,8,7,15,15,14,6,6,10,5,37,5,10,9,8,6,15,16,8,6,15,12,6,4,6,5,27,33,47,12,20,26,8,33,14,52,6,21,16,16,8,8,8,17,7,14,6,7,12
12,9,6,10,15,20,21,16,38,15,18,8,6,10,7,21,20,17,6,6,14,5,40,5,16,12,9,6,15,16,8,6,15,12,7,4,6,5,32,29,49,12,20,26,12,33,39,52,10,27,17,18,8,8,8,19,16,14,7,7,12
13,9,6,13,17,20,20,16,39,15,18,9,6,13,7,21,31,17,6,6,14,5,40,5,16,19,9,6,15,17,8,7,15,12,10,5,6,5,32,36,49,14,23,26,12,33,39,59,12,27,17,18,8,8,8,19,28,17,7,7,14
14,9,8,18,21,20,20,23,39,15,19,10,6,13,7,23,31,17,6,6,15,8,59,5,21,19,9,6,15,22,8,7,25,12,10,5,6,5,32,36,67,14,23,26,12,33,39,69,12,27,26,18,7,8,9,19,28,28,8,7,17
15,11,8,18,27,21,20,23,37,15,19,11,6,22,8,32,31,17,6,6,15,8,59,5,41,36,9,6,17,26,8,7,25,13,11,5,6,5,32,42,67,14,23,26,12,33,39,69,16,27,29,18,8,7,9,19,28,28,8,7,17
16,21,8,23,31,24,30,23,37,15,19,11,7,23,8,32,31,29,6,6,15,8,59,5,41,36,9,6,33,49,8,7,25,17,11,6,6,5,43,43,67,14,23,26,12,61,39,94,16,27,29,21,10,10,9,27,29,28,10,7,22
17,25,8,24,35,26,30,23,37,20,19,15,7,23,8,32,38,29,6,6,17,10,70,5,41,37,10,6,33,49,8,7,25,16,13,6,6,5,38,43,67,14,23,38,12,61,39,94,30,27,40,22,13,16,9,27,35,32,19,10,26
18,32,12,29,35,33,30,23,37,20,21,15,19,29,11,32,38,29,9,6,21,32,70,5,55,37,10,6,33,49,8,8,35,16,24,6,6,5,38,45,75,14,23,38,16,61,39,94,30,27,52,29,14,22,9,31,35,39,25,9,26
19,38,19,29,43,33,30,23,55,23,28,17,30,29,16,37,38,29,9,6,21,32,70,5,55,40,10,6,33,49,8,8,35,16,24,6,6,5,38,60,75,17,23,38,18,61,39,94,30,32,52,29,27,28,9,31,35,37,25,9,26
20,45,23,29,57,33,30,25,55,23,28,22,38,38,16,37,44,29,9,6,24,32,73,5,55,46,10,6,33,49,8,8,35,17,24,6,6,5,38,69,75,17,29,38,18,61,47,94,30,32,59,29,27,31,9,31,59,45,31,11,26
21,45,32,44,57,33,30,25,53,23,28,22,52,37,16,37,44,29,10,6,22,36,73,5,55,50,11,6,28,49,8,19,37,30,24,6,6,5,38,69,75,17,29,38,18,70,50,94,30,29,62,27,51,30,9,28,70,53,32,11,26
22,45,32,53,57,52,29,28,61,23,28,22,52,45,16,37,55,32,11,6,22,43,75,5,55,52,11,6,35,49,8,19,37,30,24,6,6,5,59,75,75,17,29,50,19,70,66,94,45,29,67,27,51,32,9,40,70,61,37,13,26
23,44,32,71,57,53,31,41,76,23,33,22,52,45,16,37,55,32,11,6,29,48,87,5,55,61,11,6,32,49,8,18,37,30,34,6,6,5,59,75,75,17,37,50,19,70,76,94,45,29,69,27,51,44,9,40,65,58,46,20,26
24,43,32,74,57,55,31,44,76,23,33,22,56,50,18,37,62,32,11,6,29,45,87,5,55,64,16,6,32,49,8,23,37,30,34,6,6,5,59,75,75,20,37,50,19,70,75,94,45,29,69,27,47,51,9,40,65,77,46,20,32
25,67,32,74,61,55,31,61,76,23,33,22,56,51,19,37,62,32,11,6,29,62,87,5,55,67,22,6,41,49,8,24,37,30,34,6,6,5,59,75,77,20,37,50,20,70,73,94,45,29,69,49,47,65,9,40,65,74,46,29,34
26,67,32,74,61,68,43,73,76,23,33,23,59,51,19,37,62,32,13,6,30,75,87,5,55,91,20,6,44,49,8,24,37,30,59,6,6,5,59,75,76,20,37,50,21,70,76,94,45,34,78,49,47,65,11,48,65,74,46,32,41
27,67,32,74,59,68,37,83,76,23,33,23,72,59,26,37,68,36,16,6,30,75,87,6,57,91,20,6,52,49,8,27,37,30,62,7,6,6,60,75,76,19,37,50,26,70,75,94,45,34,78,49,47,65,14,66,65,74,46,44,44
28,60,32,74,59,68,37,83,76,23,33,31,72,59,23,37,68,39,16,6,35,75,87,6,57,91,22,6,52,49,8,27,37,30,62,7,5,6,60,75,76,19,38,50,26,90,75,94,45,34,78,49,59,73,19,65,65,74,46,44,44
29,60,34,74,88,68,37,83,79,23,33,35,61,67,30,37,68,44,23,6,35,75,87,6,58,91,29,6,62,49,8,27,37,27,71,7,5,6,60,75,79,19,38,55,35,90,89,94,45,45,78,47,76,73,19,74,65,74,46,43,44
30,62,41,74,88,68,37,83,82,23,33,35,61,90,30,37,71,42,28,6,42,75,87,6,58,91,29,6,62,49,8,27,37,27,71,7,5,6,60,75,79,19,40,57,35,90,89,94,45,44,87,55,73,73,19,74,65,74,46,43,44
31,71,41,75,88,68,37,83,82,23,33,35,61,90,30,37,75,63,28,6,42,72,87,6,58,112,29,6,75,49,8,28,37,27,71,7,5,7,53,75,79,19,40,57,39,90,89,94,45,49,87,56,81,73,19,74,68,74,46,43,44
32,71,41,75,88,68,37,81,82,23,36,35,74,90,30,37,75,67,42,6,42,72,87,6,80,112,29,6,75,49,8,28,37,38,71,7,5,8,58,75,90,24,40,57,48,92,89,94,59,49,87,56,81,77,18,79,68,74,46,46,44
