generation,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,score11,score12,score13,score14,score15,score16,score17,score18,score19,score20,score21,score22,score23,score24,score25,score26,score27,score28,score29,score30,score31,score32,score33,score34,score35,score36,score37,score38,score39,score40,score41,score42,score43,score44,score45,score46,score47,score48,score49,score50,score51,score52,score53,score54,score55,score56,score57,score58,score59,score60
0,1367561,1006649,2252560,1543412,1520985,1842580,1301300,881350,1060414,1250231,1100845,1272970,818845,2107799,764740,485162,853136,436599,383287,846945,1307020,930311,451523,751739,1231773,1392041,972574,594857,1717838,1415885,1286920,2148932,825031,1082201,529818,1006689,1405616,606747,1017049,1068343,815823,683824,1338420,700702,2216325,329883,651321,872653,896931,1275981,1304263,1985594,886666,1355616,1072137,1116217,947530,1020042,665937,584554
1,4,3,3,3,4,5,4,4,5,5,4,4,4,4,4,4,4,5,4,4,4,4,3,6,5,4,5,4,4,4,4,4,4,4,5,3,6,4,4,4,4,3,4,3,4,4,4,4,4,4,4,6,5,3,4,4,4,3,3,4
2,7,4,4,5,5,4,4,6,5,6,4,4,4,4,4,4,4,5,7,6,4,4,4,4,4,8,5,4,5,4,5,5,4,8,7,13,5,4,5,4,6,4,4,5,7,4,5,4,6,4,7,6,4,4,4,4,4,4,4,4
3,17,4,6,9,5,4,8,6,5,6,5,7,4,6,5,5,6,5,7,5,7,5,4,4,7,7,6,4,5,5,5,9,4,12,7,17,9,4,10,4,5,4,7,5,13,4,5,4,10,4,7,9,5,5,4,4,6,4,4,5
4,17,5,6,10,5,6,12,6,6,5,6,9,4,7,5,5,5,5,7,5,8,5,5,6,8,10,6,4,6,6,10,17,4,13,7,17,14,9,19,4,9,4,14,5,21,4,7,5,12,5,8,17,5,6,5,6,7,4,4,5
5,21,5,6,14,8,6,13,6,6,5,12,16,4,18,5,7,5,5,7,7,10,6,5,7,9,21,6,6,5,10,29,17,4,14,7,13,19,15,19,6,15,6,19,5,29,4,7,5,12,5,8,25,6,7,5,10,8,4,5,7
6,21,5,5,27,8,6,23,6,6,7,19,13,7,17,9,6,5,5,7,8,10,6,6,12,12,21,6,6,7,11,36,28,6,14,7,13,23,14,17,12,17,6,26,6,40,4,7,5,13,10,18,29,7,13,6,10,11,8,5,7
7,21,7,6,31,9,7,23,6,6,9,23,18,7,21,9,6,6,5,7,8,10,6,6,13,14,17,7,6,15,16,35,28,6,15,9,13,22,16,24,13,17,8,26,8,38,5,7,5,15,20,21,33,9,24,10,11,16,8,5,10
8,21,7,11,29,12,15,23,6,6,13,21,21,7,35,13,7,7,5,7,9,7,6,6,15,21,18,9,9,25,21,35,28,6,15,9,23,25,20,24,16,17,11,25,8,61,5,7,7,15,20,23,33,9,24,13,11,16,9,5,10
9,21,7,21,26,13,34,19,6,11,13,21,18,8,41,13,10,7,7,6,13,11,8,10,16,21,22,10,11,31,33,35,28,11,15,12,21,25,22,24,21,21,13,30,8,61,5,7,7,16,19,23,43,9,24,13,13,16,19,6,11
10,27,8,21,29,21,34,19,11,12,13,21,21,10,40,13,9,7,6,6,13,17,8,12,18,21,22,15,18,35,33,35,28,19,15,11,21,35,22,24,24,21,13,30,8,61,5,7,6,16,24,28,48,9,31,13,14,16,27,7,13
11,32,8,21,29,21,34,26,14,14,27,28,34,19,40,14,15,7,6,10,16,18,11,12,18,26,27,15,18,40,35,35,28,21,15,12,21,35,22,24,28,18,13,30,8,61,6,7,6,18,24,28,48,10,31,13,19,18,27,7,15
12,40,11,30,32,21,34,26,22,15,27,28,34,20,53,20,15,7,6,15,16,24,15,12,18,26,27,19,18,40,37,47,32,25,18,13,21,35,22,24,28,23,13,37,8,64,6,8,6,18,24,28,48,14,31,13,24,20,43,9,16
13,40,14,30,34,20,50,33,22,30,27,25,34,20,75,20,15,10,7,21,27,22,22,15,20,26,30,22,18,56,41,47,32,27,19,13,28,35,21,23,33,23,11,37,9,72,6,9,6,18,27,30,48,14,31,21,24,20,43,12,16
14,40,16,40,36,30,50,33,22,34,27,28,38,20,75,20,18,25,10,21,27,34,22,15,25,32,37,26,18,67,58,47,36,22,26,13,28,35,24,31,36,24,23,37,9,96,6,18,6,18,30,27,59,14,43,21,25,23,43,14,18
15,40,20,47,36,34,50,31,22,34,27,36,49,22,75,20,18,25,16,21,27,34,29,15,25,36,32,26,18,67,58,47,52,34,34,13,25,35,24,31,40,24,21,37,10,91,6,19,6,18,31,31,59,14,43,21,30,25,43,15,18
16,45,20,62,36,35,50,31,21,34,27,35,75,19,75,23,18,25,20,21,27,34,29,20,25,43,51,26,18,76,58,47,52,34,46,15,30,35,24,38,40,24,21,37,17,91,6,30,6,18,48,36,59,16,43,24,38,25,43,18,18
17,45,20,75,44,38,56,31,21,34,27,35,75,19,94,23,16,29,25,21,26,34,28,20,25,43,45,34,18,75,58,47,59,35,56,15,30,35,23,38,40,24,39,37,23,91,6,30,6,20,48,36,59,20,43,24,41,29,43,18,18
18,52,22,75,44,38,72,31,23,34,22,35,75,28,94,32,23,29,25,21,26,34,28,20,25,52,55,34,18,75,55,47,59,35,56,15,39,35,23,61,40,24,39,37,23,88,6,30,6,22,53,36,71,24,43,24,41,30,46,19,18
19,52,36,81,46,38,84,31,26,34,22,35,75,28,94,31,23,29,25,21,26,39,28,20,31,60,55,34,18,78,58,47,70,35,56,15,47,35,23,54,49,24,39,44,18,90,6,30,6,22,51,43,73,26,37,24,41,35,46,19,20
20,74,36,91,44,38,84,33,43,53,42,39,75,31,94,31,23,29,25,21,33,39,35,19,31,63,54,44,18,78,58,47,81,52,56,15,47,47,23,54,49,32,39,51,21,90,6,30,9,22,51,42,73,26,51,24,41,47,46,20,20
21,74,36,91,61,40,84,33,43,53,43,39,75,32,94,31,23,29,25,27,37,45,35,19,34,63,54,44,21,78,72,47,85,55,53,18,55,47,23,54,49,32,39,51,25,95,6,30,12,22,51,42,78,26,51,28,41,42,46,23,22
22,74,37,91,65,40,84,36,43,53,42,33,75,33,94,36,24,42,25,27,37,48,35,20,38,63,67,44,22,84,71,47,88,55,66,23,55,55,26,54,49,32,39,51,25,95,6,30,30,22,62,50,82,29,59,28,41,42,46,32,22
23,74,53,85,73,40,90,36,43,53,65,33,75,39,94,36,26,42,25,27,37,50,32,20,44,62,67,44,29,84,71,47,92,55,66,23,55,53,26,54,49,32,39,51,34,95,6,30,49,28,74,50,82,34,51,28,41,43,46,32,22
24,74,53,85,75,48,92,36,45,59,65,53,75,39,94,36,29,42,25,27,38,50,41,21,44,67,77,44,35,84,71,47,110,55,64,25,55,54,26,54,49,32,39,51,48,95,6,30,45,31,74,59,84,34,75,28,45,47,46,33,22
25,74,53,85,92,56,92,48,45,70,77,55,75,39,101,36,29,42,25,27,38,50,36,21,47,74,77,51,35,84,75,47,110,55,64,25,55,54,26,54,49,32,54,64,48,95,6,31,51,31,75,61,84,43,95,39,45,47,55,33,28
26,74,53,85,86,60,92,48,55,70,74,48,75,39,101,39,29,35,25,27,40,65,38,21,53,74,77,51,35,84,75,47,107,55,64,28,69,54,26,54,49,30,67,63,51,95,7,31,51,31,75,61,80,43,103,39,45,73,55,33,28
27,74,47,85,86,62,92,48,63,70,74,48,75,39,101,42,29,47,25,30,44,67,38,21,53,74,74,51,35,84,75,47,116,58,64,28,79,59,26,54,56,36,67,94,62,100,9,27,51,31,75,74,85,40,103,39,72,73,55,40,28
28,74,47,109,90,69,92,62,63,77,74,65,75,54,99,51,29,47,25,30,52,68,52,23,53,76,89,54,35,84,75,57,116,58,70,28,79,68,28,54,55,36,67,94,69,100,9,30,51,31,75,99,85,41,103,56,72,73,55,40,28
29,74,75,109,90,76,92,62,63,77,74,65,75,54,99,51,29,47,25,31,52,68,52,23,53,76,89,54,35,84,75,76,132,58,77,28,79,68,28,54,55,38,67,94,75,100,9,30,51,31,76,99,90,43,103,68,79,73,55,51,28
30,74,75,112,90,73,92,62,63,77,85,61,75,57,98,55,29,58,25,33,63,73,52,23,56,76,89,62,35,85,75,76,132,58,78,28,79,68,34,54,55,38,67,94,75,100,9,34,62,31,76,99,90,52,103,63,79,73,55,51,26
31,74,75,112,90,73,92,63,63,77,85,61,75,57,98,55,29,58,25,33,63,73,75,23,56,82,89,62,35,85,75,76,132,58,78,28,79,73,33,54,58,44,67,94,75,100,9,39,62,31,76,99,93,59,103,63,79,73,64,63,26
32,74,74,112,90,81,92,73,63,77,85,73,75,57,98,55,29,58,25,33,63,73,75,23,56,82,85,60,35,85,75,70,132,60,78,29,99,73,33,54,58,54,67,94,75,100,9,39,66,41,76,99,93,59,105,63,79,73,64,63,27
33,91,74,119,90,81,92,73,63,79,85,73,75,57,98,55,31,58,27,33,67,73,75,31,56,82,85,61,35,86,67,70,132,60,78,33,99,79,34,54,58,54,67,94,75,100,9,39,66,52,76,99,93,65,105,90,79,73,70,62,27
34,88,74,119,90,86,98,73,63,80,85,73,75,57,98,53,38,58,26,36,67,75,75,31,74,86,85,64,35,88,86,89,132,60,78,33,99,79,47,54,58,54,67,94,75,100,10,39,76,57,74,99,93,67,105,90,79,73,68,72,27
35,88,79,119,90,86,98,73,63,80,89,66,75,57,98,64,47,70,26,36,67,75,79,31,74,86,85,71,35,88,86,89,132,60,78,31,99,78,47,54,75,57,67,94,83,100,10,39,84,61,75,99,93,69,105,90,79,72,68,72,33
36,88,86,119,90,91,98,85,63,80,89,66,75,57,98,64,47,70,30,36,67,75,79,31,75,91,86,71,35,88,86,86,132,64,78,33,99,90,47,54,75,57,67,94,83,100,14,53,84,87,81,99,89,69,95,80,78,72,68,72,33
37,88,85,119,90,93,98,85,63,80,89,78,75,57,98,64,47,70,30,36,84,74,79,31,75,91,86,71,35,88,86,94,132,64,73,33,99,88,55,54,75,64,67,94,83,100,19,40,84,87,81,99,89,69,101,82,80,72,74,75,33
38,88,85,119,90,99,98,86,63,90,89,78,75,63,98,55,47,70,30,36,84,75,79,31,75,91,86,74,35,88,86,94,130,64,80,34,99,91,63,71,77,67,67,94,83,100,20,52,77,87,83,99,89,69,101,84,80,75,72,75,35
39,88,85,119,90,99,98,86,63,90,89,115,77,63,135,55,47,70,30,36,84,81,79,31,75,91,98,70,35,90,86,90,130,68,80,39,99,97,63,92,77,67,65,106,83,100,20,54,77,99,83,99,90,73,101,95,91,75,80,75,35
40,91,89,119,90,99,98,83,63,90,89,115,77,63,135,55,47,68,30,40,84,86,86,31,75,91,98,70,35,90,82,88,130,76,87,39,99,97,63,92,77,68,65,106,83,100,27,54,77,99,83,102,90,73,101,93,109,74,80,75,58
41,92,90,128,90,99,97,83,75,90,89,115,77,69,135,70,47,74,30,40,84,86,86,31,73,91,98,77,38,90,82,88,130,76,87,39,99,96,63,92,77,76,67,106,83,100,27,54,99,99,83,109,91,73,101,93,114,75,80,75,71
42,92,90,128,90,99,97,83,66,90,89,115,85,69,135,70,47,74,30,32,84,85,86,31,73,91,98,77,36,90,89,88,146,76,87,42,99,96,63,92,77,76,73,106,83,100,42,54,99,89,83,109,91,73,101,93,114,75,72,75,71
43,98,90,128,90,99,97,83,66,90,89,115,85,69,135,70,47,74,30,32,84,96,88,31,73,91,99,77,36,89,89,88,146,76,87,42,99,97,63,92,78,75,73,106,83,100,42,64,99,89,83,109,103,73,101,93,114,87,84,75,71
44,98,89,131,90,97,97,85,75,91,89,115,85,75,144,70,47,72,30,32,84,96,88,31,71,91,99,78,41,89,89,102,140,76,87,42,99,97,63,92,78,75,73,106,83,100,42,77,99,89,83,109,103,73,101,106,114,87,84,77,68
45,104,89,141,90,97,97,93,94,91,90,115,85,75,144,70,47,72,30,33,84,96,88,31,75,91,99,78,41,89,89,102,140,76,87,43,99,97,63,89,78,75,73,106,91,100,42,72,99,89,83,108,103,73,101,106,114,87,84,84,68
46,105,89,145,90,97,97,93,94,92,97,115,85,75,144,70,47,82,30,33,84,96,88,31,75,91,99,77,41,89,89,102,140,76,86,51,99,97,68,89,78,75,73,106,91,98,42,78,99,89,83,115,103,73,101,106,114,87,84,84,68
47,105,89,145,90,97,97,93,94,92,97,111,85,83,144,70,47,82,30,37,84,96,88,31,75,91,108,79,41,89,89,102,140,76,88,51,99,97,73,95,78,75,73,106,91,98,43,79,99,108,83,115,103,73,99,106,118,83,84,84,68
48,105,89,149,90,97,97,87,94,92,97,111,85,75,138,68,51,82,30,37,84,96,88,31,75,91,108,79,41,89,89,102,140,76,88,51,99,97,77,95,78,75,73,106,91,105,43,71,99,127,86,115,103,73,110,106,118,84,84,84,72
49,113,89,149,90,97,97,89,94,92,97,115,90,75,138,68,51,82,30,37,84,96,88,31,75,91,108,79,41,89,89,102,140,76,88,51,99,97,77,99,78,75,73,106,91,105,43,84,99,127,86,137,103,73,110,106,118,96,84,84,72
